Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,Power Plants,Petroleum and Natural Gas Systems,Non-Fluorinated Chemicals,Waste,Minerals,Pulp and Paper,Miscellaneous Combustion,Electronics Manufacturing,year,state
Solid Waste Combustion,1179990.1,25181.5,39401.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244573.16,0.0,0.0,0.0,0.0,2015,MA
Universities,518429.3,266.0,370.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519066.012,0.0,2015,MA
Electronics Manufacturing,9683.0,4.5,1866.374,1007.88,45688.999394,10043.4,454.08,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71628.23339400001,2016,MA
Food Processing,819.7,0.25,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.248,0.0,2016,MA
Glass Production,33085.1,14.25,16.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33116.336,0.0,0.0,0.0,2016,MA
Lime Manufacturing,142145.3,47.75,75.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142268.444,0.0,0.0,0.0,2016,MA
Liquefied Natural Gas Imp./Exp. Equipment,58241.0,603.0,32.482,0.0,0.0,0.0,0.0,0.0,0.0,58876.482,0.0,0.0,0.0,0.0,0.0,0.0,2016,MA
Military,26870.3,16.0,26.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26913.12,0.0,2016,MA
Municipal Landfills,1725.6,326545.0,113.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328384.436,0.0,0.0,0.0,0.0,2016,MA
"Natural Gas Distribution, Natural Gas Local Distribution Companies",7105.499999999999,700375.0,15.794,0.0,0.0,0.0,0.0,0.0,0.0,707496.294,0.0,0.0,0.0,0.0,0.0,0.0,2016,MA
Natural Gas Transmission Pipelines,8.7,7520.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7528.95,0.0,0.0,0.0,0.0,0.0,0.0,2016,MA
Natural Gas Transmission/Compression,93806.20000000001,7933.5,52.746,0.0,0.0,0.0,0.0,0.0,0.0,101792.446,0.0,0.0,0.0,0.0,0.0,0.0,2016,MA
Other Chemicals,114761.5,54.0,64.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114879.868,0.0,0.0,0.0,0.0,0.0,2016,MA
Other Combustion,33205.6,18.5,29.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33253.304,0.0,2016,MA
Other Manufacturing,298219.3,149.0,195.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298563.788,0.0,2016,MA
Other Minerals,40483.2,19.25,22.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40525.396,0.0,0.0,0.0,2016,MA
Other Paper Producers,61760.0,29.75,37.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61827.596,0.0,0.0,2016,MA
Power Plants,10864792.7,10046.025,15422.692,0.0,0.0,0.0,0.0,0.0,10890261.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,MA
Solid Waste Combustion,1199442.7,24957.25,39049.92000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1263449.87,0.0,0.0,0.0,0.0,2016,MA
Universities,504727.9,245.5,312.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505285.4060000001,0.0,2016,MA
Electronics Manufacturing,9086.3,4.0,1738.234,4084.8,51556.674576,7740.6,407.64,4190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78808.24857600001,2017,MA
Glass Production,37284.6,16.25,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37320.22,0.0,0.0,0.0,2017,MA
Lime Manufacturing,158297.4,53.25,83.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158434.388,0.0,0.0,0.0,2017,MA
Liquefied Natural Gas Imp./Exp. Equipment,53770.8,397.0,30.098,0.0,0.0,0.0,0.0,0.0,0.0,54197.898,0.0,0.0,0.0,0.0,0.0,0.0,2017,MA
Military,26723.3,13.75,20.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26757.612,0.0,2017,MA
Municipal Landfills,1443.6,310263.0,108.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311814.7740000001,0.0,0.0,0.0,0.0,2017,MA
"Natural Gas Distribution, Natural Gas Local Distribution Companies",4575.1,666823.75,5.066,0.0,0.0,0.0,0.0,0.0,0.0,671403.916,0.0,0.0,0.0,0.0,0.0,0.0,2017,MA
Natural Gas Transmission Pipelines,2.4,2085.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2087.65,0.0,0.0,0.0,0.0,0.0,0.0,2017,MA
Natural Gas Transmission/Compression,79329.79999999999,4588.25,44.7,0.0,0.0,0.0,0.0,0.0,0.0,83962.75,0.0,0.0,0.0,0.0,0.0,0.0,2017,MA
Other Chemicals,116288.5,55.0,65.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116409.358,0.0,0.0,0.0,0.0,0.0,2017,MA
Other Combustion,30950.3,15.0,19.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30984.968,0.0,2017,MA
Other Manufacturing,272189.8,133.25,169.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272492.612,0.0,2017,MA
Other Minerals,64626.1,30.0,35.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64691.86,0.0,0.0,0.0,2017,MA
Other Paper Producers,63635.7,29.75,36.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63701.508,0.0,0.0,2017,MA
Power Plants,10436611.7,7796.975,11371.978,0.0,0.0,0.0,0.0,0.0,10455780.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,MA
Solid Waste Combustion,1130947.3,24879.75,38932.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1194759.26,0.0,0.0,0.0,0.0,2017,MA
Universities,485981.9,240.75,311.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486534.06,0.0,2017,MA
Electronics Manufacturing,8968.7,4.0,1584.168,3645.24,48504.002773,7959.48,605.44,4690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75961.030773,2018,MA
Glass Production,9735.7,4.25,5.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9745.016000000001,0.0,0.0,0.0,2018,MA
Lime Manufacturing,168498.3,54.25,86.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168638.97,0.0,0.0,0.0,2018,MA
Liquefied Natural Gas Imp./Exp. Equipment,41209.8,458.5,23.542,0.0,0.0,0.0,0.0,0.0,0.0,41691.842,0.0,0.0,0.0,0.0,0.0,0.0,2018,MA
Military,28485.3,15.0,21.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28521.458,0.0,2018,MA
Municipal Landfills,696.8,302259.75,104.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303060.85,0.0,0.0,0.0,0.0,2018,MA
"Natural Gas Distribution, Natural Gas Local Distribution Companies",3873.600000000001,643660.75,1.788,0.0,0.0,0.0,0.0,0.0,0.0,647536.138,0.0,0.0,0.0,0.0,0.0,0.0,2018,MA
Natural Gas Transmission Pipelines,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,MA
Natural Gas Transmission/Compression,84171.0,4710.5,47.084,0.0,0.0,0.0,0.0,0.0,0.0,88928.584,0.0,0.0,0.0,0.0,0.0,0.0,2018,MA
Other Chemicals,117330.9,55.0,65.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117451.46,0.0,0.0,0.0,0.0,0.0,2018,MA
Other Combustion,26479.2,12.75,15.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26507.446,0.0,2018,MA
Other Manufacturing,260715.1,127.5,162.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261005.0099999999,0.0,2018,MA
Other Minerals,69868.3,33.25,39.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69941.18400000001,0.0,0.0,0.0,2018,MA
Other Paper Producers,64445.2,31.0,39.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64515.53599999999,0.0,0.0,2018,MA
Power Plants,8081001.4,3949.5,5145.566000000001,0.0,0.0,0.0,0.0,0.0,8090096.466000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,MA
Solid Waste Combustion,1126286.5,25037.25,39182.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1190506.578,0.0,0.0,0.0,0.0,2018,MA
Universities,516319.9,248.25,312.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516880.454,0.0,2018,MA
Electronics Manufacturing,9005.4,4.0,1426.824,3698.52,41873.560576,9391.32,474.72,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70234.344576,2019,MA
Lime Manufacturing,151849.9,43.75,67.94399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151961.594,0.0,0.0,0.0,2019,MA
Liquefied Natural Gas Imp./Exp. Equipment,29911.9,361.25,16.39,0.0,0.0,0.0,0.0,0.0,0.0,30289.54,0.0,0.0,0.0,0.0,0.0,0.0,2019,MA
Military,27952.9,15.5,22.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27991.346,0.0,2019,MA
Municipal Landfills,508.0,304171.75,95.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304774.812,0.0,0.0,0.0,0.0,2019,MA
"Natural Gas Distribution, Natural Gas Local Distribution Companies",920.7,621226.5,5.96,0.0,0.0,0.0,0.0,0.0,0.0,622153.1599999999,0.0,0.0,0.0,0.0,0.0,0.0,2019,MA
Natural Gas Transmission Pipelines,4.5,3869.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3873.75,0.0,0.0,0.0,0.0,0.0,0.0,2019,MA
Natural Gas Transmission/Compression,76507.0,5509.75,42.912,0.0,0.0,0.0,0.0,0.0,0.0,82059.662,0.0,0.0,0.0,0.0,0.0,0.0,2019,MA
Other Chemicals,118025.3,55.5,66.45400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118147.254,0.0,0.0,0.0,0.0,0.0,2019,MA
Other Combustion,28548.8,13.75,16.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28579.238,0.0,2019,MA
Other Manufacturing,261176.9,127.25,161.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261465.368,0.0,2019,MA
Other Minerals,76876.2,36.0,42.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76955.112,0.0,0.0,0.0,2019,MA
Other Paper Producers,63246.8,30.25,38.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63315.194,0.0,0.0,2019,MA
Power Plants,6425040.2,3028.0,3711.59,0.0,0.0,0.0,0.0,0.0,6431779.790000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,MA
Solid Waste Combustion,1042363.5,24493.0,38329.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1105186.154,0.0,0.0,0.0,0.0,2019,MA
Universities,496444.2,239.5,300.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496984.382,0.0,2019,MA
Electronics Manufacturing,9567.5,4.0,1376.164,2672.88,37429.580985,9165.599999999999,443.76,4270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64938.09798499999,2020,MA
Lime Manufacturing,131455.0,22.0,27.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131504.416,0.0,0.0,0.0,2020,MA
Liquefied Natural Gas Imp./Exp. Equipment,23786.9,306.75,13.112,0.0,0.0,0.0,0.0,0.0,0.0,24106.762,0.0,0.0,0.0,0.0,0.0,0.0,2020,MA
Military,28263.5,15.75,24.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28303.388,0.0,2020,MA
Municipal Landfills,518.5,269679.25,102.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270300.262,0.0,0.0,0.0,0.0,2020,MA
"Natural Gas Distribution, Natural Gas Local Distribution Companies",978.3,604467.0,11.92,0.0,0.0,0.0,0.0,0.0,0.0,605457.22,0.0,0.0,0.0,0.0,0.0,0.0,2020,MA
Natural Gas Transmission Pipelines,1.8,1516.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1518.55,0.0,0.0,0.0,0.0,0.0,0.0,2020,MA
Natural Gas Transmission/Compression,50523.2,4346.5,28.31,0.0,0.0,0.0,0.0,0.0,0.0,54898.01,0.0,0.0,0.0,0.0,0.0,0.0,2020,MA
Other Chemicals,115183.4,54.5,64.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115302.864,0.0,0.0,0.0,0.0,0.0,2020,MA
Other Combustion,22266.4,10.5,12.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22289.714,0.0,2020,MA
Other Manufacturing,196712.0,96.5,122.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196930.68,0.0,2020,MA
Other Minerals,70504.0,32.25,38.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70574.692,0.0,0.0,0.0,2020,MA
Other Paper Producers,61917.5,29.25,35.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61981.914,0.0,0.0,2020,MA
Power Plants,6099299.600000001,2847.25,3434.748000000001,0.0,0.0,0.0,0.0,0.0,6105581.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,MA
Solid Waste Combustion,1122305.1,23058.25,36082.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181446.084,0.0,0.0,0.0,0.0,2020,MA
Universities,446019.2,214.0,263.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446496.9299999999,0.0,2020,MA
